"Wells","values","conc","rep_tec","experiment","PositionScore"
"A01",32.5842696629213,"0",1,"EXP_1","4"
"A02",24.7191011235955,"0.485",1,"EXP_1","4"
"A03",29.2134831460674,"0.97",1,"EXP_1","4"
"A04",10.6741573033708,"1.95",1,"EXP_1","4"
"A05",26.9662921348315,"3.9",1,"EXP_1","4"
"A06",9.55056179775281,"7.8",1,"EXP_1","4"
"A07",11.7977528089888,"15.6",1,"EXP_1","4"
"A08",6.74157303370786,"31.25",1,"EXP_1","4"
"A09",3.37078651685393,"62.5",1,"EXP_1","4"
"A10",2.80898876404494,"125",1,"EXP_1","4"
"A11",0,"250",1,"EXP_1","4"
"A12",0,"500",1,"EXP_1","4"
"B01",39.3258426966292,"0",2,"EXP_1","4"
"B02",34.5505617977528,"0.485",2,"EXP_1","3"
"B03",25.8426966292135,"0.97",2,"EXP_1","3"
"B04",35.1123595505618,"1.95",2,"EXP_1","3"
"B05",31.4606741573034,"3.9",2,"EXP_1","3"
"B06",29.4943820224719,"7.8",2,"EXP_1","3"
"B07",33.9887640449438,"15.6",2,"EXP_1","3"
"B08",18.8202247191011,"31.25",2,"EXP_1","3"
"B09",15.4494382022472,"62.5",2,"EXP_1","3"
"B10",1.96629213483146,"125",2,"EXP_1","3"
"B11",0,"250",2,"EXP_1","3"
"B12",0.842696629213484,"500",2,"EXP_1","4"
"C01",39.3258426966292,"0",3,"EXP_1","4"
"C02",37.0786516853933,"0.485",3,"EXP_1","3"
"C03",28.3707865168539,"0.97",3,"EXP_1","2"
"C04",39.0449438202247,"1.95",3,"EXP_1","2"
"C05",34.5505617977528,"3.9",3,"EXP_1","2"
"C06",29.4943820224719,"7.8",3,"EXP_1","2"
"C07",49.438202247191,"15.6",3,"EXP_1","2"
"C08",35.9550561797753,"31.25",3,"EXP_1","2"
"C09",17.9775280898876,"62.5",3,"EXP_1","2"
"C10",6.17977528089888,"125",3,"EXP_1","2"
"C11",0,"250",3,"EXP_1","3"
"C12",0.561797752808989,"500",3,"EXP_1","4"
"D01",40.7303370786517,"0",4,"EXP_1","4"
"D02",44.1011235955056,"0.485",4,"EXP_1","3"
"D03",39.0449438202247,"0.97",4,"EXP_1","2"
"D04",33.1460674157303,"1.95",4,"EXP_1","1"
"D05",39.3258426966292,"3.9",4,"EXP_1","1"
"D06",54.7752808988764,"7.8",4,"EXP_1","1"
"D07",43.5393258426966,"15.6",4,"EXP_1","1"
"D08",30.6179775280899,"31.25",4,"EXP_1","1"
"D09",21.6292134831461,"62.5",4,"EXP_1","1"
"D10",9.8314606741573,"125",4,"EXP_1","2"
"D11",0.280898876404495,"250",4,"EXP_1","3"
"D12",1.96629213483146,"500",4,"EXP_1","4"
"E01",34.8314606741573,"0",5,"EXP_1","4"
"E02",37.3595505617977,"0.485",5,"EXP_1","3"
"E03",35.3932584269663,"0.97",5,"EXP_1","2"
"E04",29.2134831460674,"1.95",5,"EXP_1","1"
"E05",36.7977528089888,"3.9",5,"EXP_1","1"
"E06",33.7078651685393,"7.8",5,"EXP_1","1"
"E07",42.9775280898876,"15.6",5,"EXP_1","1"
"E08",29.7752808988764,"31.25",5,"EXP_1","1"
"E09",16.2921348314607,"62.5",5,"EXP_1","1"
"E10",8.14606741573034,"125",5,"EXP_1","2"
"E11",0.561797752808989,"250",5,"EXP_1","3"
"E12",1.68539325842697,"500",5,"EXP_1","4"
"F01",39.3258426966292,"0",6,"EXP_1","4"
"F02",43.5393258426966,"0.485",6,"EXP_1","3"
"F03",40.1685393258427,"0.97",6,"EXP_1","2"
"F04",45.2247191011236,"1.95",6,"EXP_1","2"
"F05",40.7303370786517,"3.9",6,"EXP_1","2"
"F06",46.3483146067416,"7.8",6,"EXP_1","2"
"F07",39.6067415730337,"15.6",6,"EXP_1","2"
"F08",29.7752808988764,"31.25",6,"EXP_1","2"
"F09",11.5168539325843,"62.5",6,"EXP_1","2"
"F10",8.42696629213483,"125",6,"EXP_1","2"
"F11",0.280898876404495,"250",6,"EXP_1","3"
"F12",1.12359550561798,"500",6,"EXP_1","4"
"G01",35.6741573033708,"0",7,"EXP_1","4"
"G02",36.2359550561798,"0.485",7,"EXP_1","3"
"G03",35.3932584269663,"0.97",7,"EXP_1","3"
"G04",34.2696629213483,"1.95",7,"EXP_1","3"
"G05",38.4831460674157,"3.9",7,"EXP_1","3"
"G06",49.1573033707865,"7.8",7,"EXP_1","3"
"G07",30.3370786516854,"15.6",7,"EXP_1","3"
"G08",20.2247191011236,"31.25",7,"EXP_1","3"
"G09",10.6741573033708,"62.5",7,"EXP_1","3"
